"id"	"name"	"synonym"	"def"	"is_a"	"xref"	"relationship"	"comment"	"is_obsolete"	"replaced_by"	"property_value"	"other"
"MS:0000000"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	NA	"\"Proteomics Standards Initiative Mass Spectrometry Vocabularies.\" [PSI:MS]"	NA	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000001"	"sample number"	NA	"\"A reference number relevant to the sample under study.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:string \"The allowed value-type for this CV term.\""	"has_value_type xsd\:string ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000002"	"sample name"	NA	"\"A reference string relevant to the sample under study.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:string \"The allowed value-type for this CV term.\""	"has_value_type xsd\:string ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000003"	"sample state"	NA	"\"The chemical phase of a pure sample, or the state of a mixed sample.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000004"	"sample mass"	NA	"\"Total mass of sample used.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000021 ! gram; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000005"	"sample volume"	NA	"\"Total volume of solution used.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000098 ! milliliter; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000006"	"sample concentration"	NA	"\"Concentration of sample in picomol/ul, femtomol/ul or attomol/ul solution used.\" [PSI:MS]"	"MS:1000548 ! sample attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000175 ! gram per liter; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000007"	"inlet type"	NA	"\"The nature of the sample inlet.\" [PSI:MS]"	NA	NA	"part_of MS:1000458 ! source"	NA	FALSE	NA	NA	NA
"MS:1000008"	"ionization type"	NA	"\"The method by which gas phase ions are generated from the sample.\" [PSI:MS]"	NA	NA	"part_of MS:1000458 ! source"	NA	FALSE	NA	NA	NA
"MS:1000009"	"ionization mode"	NA	"\"OBSOLETE Whether positive or negative ions are selected for analysis by the spectrometer.\" [PSI:MS]"	NA	NA	NA	"This term was made obsolete because it was replaced by scan polarity (MS:1000465)."	TRUE	NA	NA	NA
"MS:1000010"	"analyzer type"	NA	"\"OBSOLETE The common name of the particular analyzer stage being described. Synonym of mass analyzer, should be obsoleted.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000011"	"mass resolution"	NA	"\"Smallest mass difference between two equal magnitude peaks so that the valley between them is a specified fraction of the peak height.\" [PSI:MS]"	"MS:1000503 ! scan attribute"	"value-type:xsd\:string \"The allowed value-type for this CV term.\""	"has_value_type xsd\:string ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000012"	"resolution measurement method"	NA	"\"Which of the available standard measures is used to define whether two peaks are separate.\" [PSI:MS]"	"MS:1000596 ! measurement method"	NA	NA	NA	FALSE	NA	NA	NA
"MS:1000013"	"resolution type"	NA	"\"OBSOLETE Specify the nature of resolution for the mass analyzer. Resolution is usually either constant with respect to m/z or proportional to m/z.\" [PSI:MS]"	NA	NA	NA	"This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000014"	"accuracy"	NA	"\"Accuracy is the degree of conformity of a measured mass to its actual value.\" [PSI:MS]"	"MS:1000480 ! mass analyzer attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units MS:1000040 ! m/z; has_units UO:0000169 ! parts per million; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000015"	"scan rate"	NA	"\"Rate in Th/sec for scanning analyzers.\" [PSI:MS]"	"MS:1000503 ! scan attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units MS:1000807 ! Th/s; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000016"	"scan start time"	NA	"\"The time that an analyzer started a scan, relative to the start of the MS run.\" [PSI:MS]"	"MS:1002345 ! PSM-level attribute"	"value-type:xsd\:float \"The allowed value-type for this CV term.\""	"has_units UO:0000010 ! second; has_units UO:0000031 ! minute; has_value_type xsd\:float ! The allowed value-type for this CV term"	NA	FALSE	NA	NA	NA
"MS:1000017"	"Scan Function"	NA	"\"OBSOLETE Describes the type of mass analysis being performed. Two primary modes are: typical acquisition over a range of masses (Mass Scan), and Selected Ion Detection. The primary difference is that Selected Ion Detection produces a single value for the signal at the selected mass rather than producing a mass spectrum.\" [PSI:MS]"	NA	NA	NA	"OBSOLETE This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000018"	"scan direction"	NA	"\"Direction in terms of m/z of the scan for scanning analyzers (low to high, or high to low).\" [PSI:MS]"	NA	NA	"part_of MS:1000441 ! scan"	NA	FALSE	NA	NA	NA
"MS:1000019"	"scan law"	NA	"\"Describes the function in control of the m/z scan (for scanning instruments). Commonly the scan function is linear, but in principle any function can be used.\" [PSI:MS]"	NA	NA	"part_of MS:1000441 ! scan"	NA	FALSE	NA	NA	NA
"MS:1000020"	"scanning method"	"\"Tandem Scanning Method\" RELATED []"	"\"Describes the acquisition data type produced by a tandem mass spectrometry experiment.\" [PSI:MS]"	NA	NA	NA	"OBSOLETE This former purgatory term was made obsolete."	TRUE	NA	NA	NA
"MS:1000021"	"reflectron state"	NA	"\"Status of the reflectron, turned on or off.\" [PSI:MS]"	"MS:1000480 ! mass analyzer attribute"	NA	NA	NA	FALSE	NA	NA	NA
